Time,numTrans
4/12/10 0:00,270
4/14/10 0:00,230
4/16/10 0:00,234
4/18/10 0:00,1337
4/20/10 0:00,242
4/22/10 0:00,210
4/24/10 0:00,191
4/26/10 0:00,220
4/28/10 0:00,219
4/30/10 0:00,181
5/2/10 0:00,197
5/4/10 0:00,151
5/6/10 0:00,173
5/8/10 0:00,170
5/10/10 0:00,161
5/12/10 0:00,147
5/14/10 0:00,148
5/16/10 0:00,118
5/18/10 0:00,217
5/20/10 0:00,221
5/22/10 0:00,227
5/24/10 0:00,262
5/26/10 0:00,259
5/28/10 0:00,265
5/30/10 0:00,200
6/1/10 0:00,178
6/3/10 0:00,219
6/5/10 0:00,188
6/7/10 0:00,211
6/9/10 0:00,199
6/11/10 0:00,248
6/13/10 0:00,221
6/15/10 0:00,288
6/17/10 0:00,208
6/19/10 0:00,218
6/21/10 0:00,242
6/23/10 0:00,242
6/25/10 0:00,227
6/27/10 0:00,215
6/29/10 0:00,253
7/1/10 0:00,273
7/3/10 0:00,283
7/5/10 0:00,243
7/7/10 0:00,209
7/9/10 0:00,258
7/11/10 0:00,242
7/13/10 0:00,1739
7/15/10 0:00,1793
7/17/10 0:00,462
7/19/10 0:00,487
7/21/10 0:00,465
7/23/10 0:00,392
7/25/10 0:00,2337
7/27/10 0:00,445
7/29/10 0:00,3455
7/31/10 0:00,295
8/2/10 0:00,413
8/4/10 0:00,375
8/6/10 0:00,368
8/8/10 0:00,323
8/10/10 0:00,402
8/12/10 0:00,407
8/14/10 0:00,424
8/16/10 0:00,318
8/18/10 0:00,377
8/20/10 0:00,398
8/22/10 0:00,350
8/24/10 0:00,337
8/26/10 0:00,374
8/28/10 0:00,348
8/30/10 0:00,288
9/1/10 0:00,408
9/3/10 0:00,314
9/5/10 0:00,303
9/7/10 0:00,271
9/9/10 0:00,343
9/11/10 0:00,296
9/13/10 0:00,436
9/15/10 0:00,450
9/17/10 0:00,379
9/19/10 0:00,339
9/21/10 0:00,636
9/23/10 0:00,698
9/25/10 0:00,451
9/27/10 0:00,639
9/29/10 0:00,998
10/1/10 0:00,563
10/3/10 0:00,401
10/5/10 0:00,353
10/7/10 0:00,370
10/9/10 0:00,382
10/11/10 0:00,348
10/13/10 0:00,350
10/15/10 0:00,333
10/17/10 0:00,485
10/19/10 0:00,964
10/21/10 0:00,602
10/23/10 0:00,623
10/25/10 0:00,479
10/27/10 0:00,569
10/29/10 0:00,466
10/31/10 0:00,311
11/2/10 0:00,283
11/4/10 0:00,339
11/6/10 0:00,389
11/8/10 0:00,498
11/10/10 0:00,372
11/12/10 0:00,296
11/14/10 0:00,399
11/16/10 0:00,12087
11/18/10 0:00,434
11/20/10 0:00,12322
11/22/10 0:00,395
11/24/10 0:00,2749
11/26/10 0:00,1542
11/28/10 0:00,457
11/30/10 0:00,455
12/2/10 0:00,472
12/4/10 0:00,402
12/6/10 0:00,447
12/8/10 0:00,537
12/10/10 0:00,382
12/12/10 0:00,564
12/14/10 0:00,683
12/16/10 0:00,523
12/18/10 0:00,466
12/20/10 0:00,934
12/22/10 0:00,634
12/24/10 0:00,578
12/26/10 0:00,650
12/28/10 0:00,584
12/30/10 0:00,542
1/1/11 0:00,594
1/3/11 0:00,853
1/5/11 0:00,1192
1/7/11 0:00,880
1/9/11 0:00,1193
1/11/11 0:00,1262
1/13/11 0:00,1271
1/15/11 0:00,932
1/17/11 0:00,816
1/19/11 0:00,967
1/21/11 0:00,1047
1/23/11 0:00,1073
1/25/11 0:00,965
1/27/11 0:00,900
1/29/11 0:00,1290
1/31/11 0:00,1815
2/2/11 0:00,1004
2/4/11 0:00,918
2/6/11 0:00,857
2/8/11 0:00,842
2/10/11 0:00,1866
2/12/11 0:00,1903
2/14/11 0:00,1978
2/16/11 0:00,2062
2/18/11 0:00,2086
2/20/11 0:00,1698
2/22/11 0:00,2152
2/24/11 0:00,1957
2/26/11 0:00,1964
2/28/11 0:00,1932
3/2/11 0:00,2974
3/4/11 0:00,2119
3/6/11 0:00,1918
3/8/11 0:00,2530
3/10/11 0:00,1491
3/12/11 0:00,2812
3/14/11 0:00,2981
3/16/11 0:00,3237
3/18/11 0:00,2759
3/20/11 0:00,2674
3/22/11 0:00,2301
3/24/11 0:00,2218
3/26/11 0:00,2987
3/28/11 0:00,3420
3/30/11 0:00,1625
4/1/11 0:00,1573
4/3/11 0:00,1603
4/5/11 0:00,2272
4/7/11 0:00,1842
4/9/11 0:00,1749
4/11/11 0:00,1879
4/13/11 0:00,2480
4/15/11 0:00,2001
4/17/11 0:00,2320
4/19/11 0:00,3567
4/21/11 0:00,1912
4/23/11 0:00,2100
4/25/11 0:00,2516
4/27/11 0:00,4550
4/29/11 0:00,3474
5/1/11 0:00,4648
5/3/11 0:00,3235
5/5/11 0:00,3399
5/7/11 0:00,3889
5/9/11 0:00,3560
5/11/11 0:00,3272
5/13/11 0:00,4404
5/15/11 0:00,3990
5/17/11 0:00,4355
5/19/11 0:00,5131
5/21/11 0:00,4822
5/23/11 0:00,5775
5/25/11 0:00,6172
5/27/11 0:00,5491
5/29/11 0:00,4725
5/31/11 0:00,6203
6/2/11 0:00,7157
6/4/11 0:00,8773
6/6/11 0:00,9808
6/8/11 0:00,11394
6/10/11 0:00,11233
6/12/11 0:00,11668
6/14/11 0:00,12602
6/16/11 0:00,11777
6/18/11 0:00,12025
6/20/11 0:00,11278
6/22/11 0:00,11810
6/24/11 0:00,11134
6/26/11 0:00,10298
6/28/11 0:00,10892
6/30/11 0:00,9885
7/2/11 0:00,9454
7/4/11 0:00,9495
7/6/11 0:00,11053
7/8/11 0:00,8211
